id,kk_id,nik,nama_lengkap,tempat_lahir,tgl_lahir,jenis_kelamin,gol_darah,agama,status_kawin,shdk,pendidikan,pekerjaan,nama_ayah,nama_ibu,status_dasar,catatan
penduduk-124,kk-22,32010189270124,Putri Hidayati,Bogor,1996-05-28,PEREMPUAN,O,KATOLIK,KAWIN,ORANG TUA,S3,Pelajar/Mahasiswa,Ayah Putri,Ibu Putri,HIDUP,
penduduk-125,kk-22,32010153780125,Sari Wibowo,Bogor,1998-12-09,PEREMPUAN,A,KRISTEN,BELUM KAWIN,ANAK,S3,Perawat,Ayah Sari,Ibu Sari,HIDUP,
penduduk-126,kk-23,32010110270126,Lukman Sari,Bogor,2000-08-20,LAKI-LAKI,-,KONGHUCU,KAWIN,KEPALA KELUARGA,D1 / D2 / D3,Karyawan Swasta,,,HIDUP,
penduduk-127,kk-23,32010150080127,Lukman Indrawati,Bogor,1970-12-20,PEREMPUAN,-,KRISTEN,BELUM KAWIN,SUAMI,D1 / D2 / D3,Karyawan Swasta,Ayah Lukman,Ibu Lukman,HIDUP,
penduduk-128,kk-23,32010139830128,Joko Hidayat,Bogor,1955-12-22,PEREMPUAN,AB,BUDDHA,CERAI MATI,FAMILI LAIN,TIDAK / BELUM SEKOLAH,Tidak Bekerja,Ayah Joko,Ibu Joko,HIDUP,
penduduk-129,kk-24,32010100630129,Dewi Sari,Bogor,1956-03-07,LAKI-LAKI,-,KRISTEN,KAWIN,KEPALA KELUARGA,SMP / SEDERAJAT,Petani,,,HIDUP,
penduduk-130,kk-24,32010178340130,Fitri Wijaya,Bogor,1984-02-23,LAKI-LAKI,B,HINDU,CERAI MATI,MENANTU,S2,Karyawan Swasta,Ayah Fitri,Ibu Fitri,HIDUP,
penduduk-131,kk-24,32010181700131,Nur Purnomo,Bogor,1960-05-12,LAKI-LAKI,-,HINDU,KAWIN,CUCU,S3,Pelajar/Mahasiswa,Ayah Nur,Ibu Nur,HIDUP,
penduduk-132,kk-24,32010160360132,Tono Wijaya,Bogor,1966-06-17,LAKI-LAKI,A,KATOLIK,KAWIN,SUAMI,D4 / S1,Buruh,Ayah Tono,Ibu Tono,HIDUP,
penduduk-133,kk-24,32010105250133,Omar Lestari,Bogor,1991-12-13,LAKI-LAKI,B,KRISTEN,KAWIN,ISTRI,BELUM TAMAT SD,Dokter,Ayah Omar,Ibu Omar,HIDUP,
penduduk-134,kk-25,32010171930134,Siti Prasetyo,Bogor,1966-06-13,LAKI-LAKI,-,KATOLIK,KAWIN,KEPALA KELUARGA,S2,Wiraswasta,,,HIDUP,
penduduk-135,kk-25,32010173010135,Fitri Setiawan,Bogor,2006-07-21,LAKI-LAKI,B,KONGHUCU,BELUM KAWIN,ORANG TUA,SMP / SEDERAJAT,Tidak Bekerja,Ayah Fitri,Ibu Fitri,HIDUP,
penduduk-136,kk-25,32010140180136,Siti Wijaya,Bogor,1947-02-19,PEREMPUAN,A,HINDU,BELUM KAWIN,FAMILI LAIN,SD / SEDERAJAT,Guru,Ayah Siti,Ibu Siti,PINDAH,
penduduk-137,kk-25,32010123650137,Siti Sari,Bogor,1956-10-20,LAKI-LAKI,O,KRISTEN,CERAI HIDUP,FAMILI LAIN,S3,Guru,Ayah Siti,Ibu Siti,HIDUP,
penduduk-138,kk-25,32010185880138,Fitri Santoso,Bogor,1946-02-06,PEREMPUAN,B,HINDU,BELUM KAWIN,KEPALA KELUARGA,TIDAK / BELUM SEKOLAH,Dokter,Ayah Fitri,Ibu Fitri,MATI,
penduduk-139,kk-26,32010114950139,Dewi Wijaya,Bogor,2011-07-19,LAKI-LAKI,A,ISLAM,KAWIN,KEPALA KELUARGA,S2,Perawat,,,HIDUP,
penduduk-140,kk-26,32010118210140,Omar Saputra,Bogor,2018-08-10,PEREMPUAN,AB,HINDU,CERAI MATI,MENANTU,SMP / SEDERAJAT,PNS,Ayah Omar,Ibu Omar,HIDUP,
penduduk-141,kk-26,32010127150141,Sari Sari,Bogor,1998-07-18,PEREMPUAN,A,KATOLIK,CERAI HIDUP,ORANG TUA,TIDAK / BELUM SEKOLAH,Perawat,Ayah Sari,Ibu Sari,HIDUP,
penduduk-142,kk-26,32010115160142,Rudi Setiawan,Bogor,1989-10-21,LAKI-LAKI,B,HINDU,KAWIN,ISTRI,SMP / SEDERAJAT,Buruh,Ayah Rudi,Ibu Rudi,HIDUP,
penduduk-143,kk-26,32010181160143,Tono Purnomo,Bogor,2012-06-14,PEREMPUAN,B,BUDDHA,BELUM KAWIN,KEPALA KELUARGA,BELUM TAMAT SD,Petani,Ayah Tono,Ibu Tono,HIDUP,
penduduk-144,kk-27,32010189220144,Sari Wijaya,Bogor,1978-10-07,LAKI-LAKI,B,KONGHUCU,KAWIN,KEPALA KELUARGA,SMA / SEDERAJAT,Petani,,,HIDUP,
penduduk-145,kk-27,32010116150145,Indra Rahayu,Bogor,1956-02-27,PEREMPUAN,AB,HINDU,CERAI MATI,ORANG TUA,D4 / S1,Guru,Ayah Indra,Ibu Indra,HIDUP,
penduduk-146,kk-27,32010129950146,Kartika Sari,Bogor,1985-11-09,PEREMPUAN,-,ISLAM,BELUM KAWIN,ORANG TUA,SD / SEDERAJAT,Karyawan Swasta,Ayah Kartika,Ibu Kartika,HIDUP,
penduduk-147,kk-27,32010169260147,Tono Hidayat,Bogor,1945-05-16,LAKI-LAKI,B,HINDU,CERAI HIDUP,SUAMI,SD / SEDERAJAT,Guru,Ayah Tono,Ibu Tono,HIDUP,
penduduk-148,kk-27,32010117110148,Fitri Sari,Bogor,1955-05-02,PEREMPUAN,A,KATOLIK,CERAI MATI,MERTUA,SMA / SEDERAJAT,Tidak Bekerja,Ayah Fitri,Ibu Fitri,HIDUP,
penduduk-149,kk-27,32010173570149,Tono Wijaya,Bogor,1985-09-10,LAKI-LAKI,-,BUDDHA,BELUM KAWIN,MERTUA,TIDAK / BELUM SEKOLAH,Buruh,Ayah Tono,Ibu Tono,HIDUP,
penduduk-150,kk-27,32010195260150,Dewi Saputra,Bogor,2018-11-15,LAKI-LAKI,O,ISLAM,BELUM KAWIN,SUAMI,SD / SEDERAJAT,Tidak Bekerja,Ayah Dewi,Ibu Dewi,HIDUP,
penduduk-151,kk-28,32010121750151,Budi Lestari,Bogor,1954-11-05,LAKI-LAKI,A,BUDDHA,KAWIN,KEPALA KELUARGA,SMA / SEDERAJAT,Pelajar/Mahasiswa,,,HIDUP,
penduduk-152,kk-28,32010178340152,Gunawan Lestari,Bogor,1946-12-11,PEREMPUAN,A,ISLAM,KAWIN,MENANTU,S3,Pelajar/Mahasiswa,Ayah Gunawan,Ibu Gunawan,HIDUP,
penduduk-153,kk-28,32010188530153,Rudi Prasetyo,Bogor,2009-12-03,LAKI-LAKI,A,HINDU,CERAI MATI,ISTRI,D1 / D2 / D3,Wiraswasta,Ayah Rudi,Ibu Rudi,HIDUP,
penduduk-154,kk-28,32010130520154,Rudi Sari,Bogor,1999-07-20,LAKI-LAKI,O,HINDU,CERAI MATI,ORANG TUA,TIDAK / BELUM SEKOLAH,Tidak Bekerja,Ayah Rudi,Ibu Rudi,PINDAH,
penduduk-155,kk-29,32010158680155,Gunawan Wibowo,Bogor,2014-04-03,LAKI-LAKI,B,KONGHUCU,KAWIN,KEPALA KELUARGA,S3,Karyawan Swasta,,,HIDUP,
penduduk-156,kk-29,32010186840156,Budi Sari,Bogor,1947-11-01,LAKI-LAKI,A,KONGHUCU,CERAI MATI,FAMILI LAIN,S2,Dokter,Ayah Budi,Ibu Budi,HIDUP,
penduduk-157,kk-29,32010106510157,Maya Indrawati,Bogor,1966-11-01,LAKI-LAKI,B,BUDDHA,BELUM KAWIN,CUCU,SMA / SEDERAJAT,Pelajar/Mahasiswa,Ayah Maya,Ibu Maya,MATI,
penduduk-158,kk-30,32010199320158,Rudi Sari,Bogor,1976-04-15,LAKI-LAKI,A,HINDU,KAWIN,KEPALA KELUARGA,D1 / D2 / D3,Pelajar/Mahasiswa,,,HIDUP,
penduduk-159,kk-30,32010118580159,Omar Sari,Bogor,1959-12-22,PEREMPUAN,-,KRISTEN,CERAI MATI,FAMILI LAIN,BELUM TAMAT SD,PNS,Ayah Omar,Ibu Omar,HIDUP,
penduduk-160,kk-30,32010184890160,Fitri Wibowo,Bogor,1992-05-08,LAKI-LAKI,O,KONGHUCU,KAWIN,ISTRI,SMA / SEDERAJAT,Tidak Bekerja,Ayah Fitri,Ibu Fitri,HIDUP,
penduduk-161,kk-30,32010173380161,Ahmad Wulandari,Bogor,2005-11-14,PEREMPUAN,AB,KRISTEN,BELUM KAWIN,ISTRI,SMA / SEDERAJAT,Wiraswasta,Ayah Ahmad,Ibu Ahmad,HIDUP,
penduduk-162,kk-30,32010184860162,Joko Rahayu,Bogor,2004-01-18,LAKI-LAKI,A,BUDDHA,CERAI MATI,MENANTU,SMA / SEDERAJAT,Perawat,Ayah Joko,Ibu Joko,HIDUP,
penduduk-163,kk-30,32010190170163,Rudi Sari,Bogor,1958-01-01,PEREMPUAN,AB,KONGHUCU,BELUM KAWIN,MERTUA,SMP / SEDERAJAT,Tidak Bekerja,Ayah Rudi,Ibu Rudi,HIDUP,
penduduk-164,kk-30,32010139280164,Lukman Sari,Bogor,1971-05-07,PEREMPUAN,A,KRISTEN,KAWIN,ORANG TUA,BELUM TAMAT SD,Dokter,Ayah Lukman,Ibu Lukman,HIDUP,
penduduk-165,kk-31,32010161040165,Nur Kurniawan,Bogor,1996-03-24,LAKI-LAKI,-,KONGHUCU,KAWIN,KEPALA KELUARGA,SD / SEDERAJAT,Pedagang,,,MATI,
penduduk-166,kk-31,32010110010166,Tono Santoso,Bogor,2023-02-11,PEREMPUAN,B,KONGHUCU,KAWIN,CUCU,TIDAK / BELUM SEKOLAH,Buruh,Ayah Tono,Ibu Tono,PINDAH,
penduduk-167,kk-31,32010196010167,Ahmad Lestari,Bogor,1990-10-01,LAKI-LAKI,A,ISLAM,CERAI MATI,ISTRI,S3,PNS,Ayah Ahmad,Ibu Ahmad,HIDUP,
penduduk-168,kk-31,32010124580168,Budi Sari,Bogor,1994-05-21,PEREMPUAN,AB,ISLAM,CERAI HIDUP,KEPALA KELUARGA,SMP / SEDERAJAT,Perawat,Ayah Budi,Ibu Budi,HIDUP,
penduduk-169,kk-31,32010152720169,Sari Sari,Bogor,1981-11-15,LAKI-LAKI,AB,KATOLIK,KAWIN,MENANTU,SD / SEDERAJAT,Guru,Ayah Sari,Ibu Sari,HIDUP,
penduduk-170,kk-31,32010175150170,Putri Sari,Bogor,2017-08-26,PEREMPUAN,B,KONGHUCU,KAWIN,ORANG TUA,D4 / S1,Wiraswasta,Ayah Putri,Ibu Putri,MATI,
penduduk-171,kk-31,32010181170171,Umi Lestari,Bogor,1961-06-16,PEREMPUAN,-,KATOLIK,CERAI HIDUP,MERTUA,BELUM TAMAT SD,Buruh,Ayah Umi,Ibu Umi,HIDUP,
penduduk-172,kk-32,32010109000172,Eko Sari,Bogor,1988-12-21,LAKI-LAKI,O,KATOLIK,KAWIN,KEPALA KELUARGA,TIDAK / BELUM SEKOLAH,Guru,,,HIDUP,
penduduk-173,kk-32,32010178090173,Omar Indrawati,Bogor,2000-07-16,LAKI-LAKI,A,HINDU,BELUM KAWIN,CUCU,SMP / SEDERAJAT,Buruh,Ayah Omar,Ibu Omar,HIDUP,
penduduk-174,kk-32,32010197890174,Eko Rahayu,Bogor,1951-06-13,PEREMPUAN,-,HINDU,CERAI MATI,ANAK,D1 / D2 / D3,Karyawan Swasta,Ayah Eko,Ibu Eko,HIDUP,
penduduk-175,kk-32,32010174800175,Indra Santoso,Bogor,1974-02-03,PEREMPUAN,AB,BUDDHA,BELUM KAWIN,MERTUA,TIDAK / BELUM SEKOLAH,PNS,Ayah Indra,Ibu Indra,HIDUP,
penduduk-176,kk-33,32010171980176,Lukman Lestari,Bogor,1956-11-12,LAKI-LAKI,AB,ISLAM,KAWIN,KEPALA KELUARGA,D4 / S1,Pedagang,,,HIDUP,
penduduk-177,kk-33,32010111790177,Umi Sari,Bogor,1955-04-10,LAKI-LAKI,B,HINDU,BELUM KAWIN,MENANTU,S3,Petani,Ayah Umi,Ibu Umi,HIDUP,
penduduk-178,kk-33,32010189200178,Budi Sari,Bogor,1986-05-02,LAKI-LAKI,AB,KONGHUCU,KAWIN,KEPALA KELUARGA,SMP / SEDERAJAT,Pedagang,Ayah Budi,Ibu Budi,HIDUP,
penduduk-179,kk-33,32010115920179,Indra Prasetyo,Bogor,1979-10-22,PEREMPUAN,B,ISLAM,CERAI MATI,MERTUA,BELUM TAMAT SD,Tidak Bekerja,Ayah Indra,Ibu Indra,HIDUP,
penduduk-180,kk-33,32010160270180,Eko Sari,Bogor,2018-02-25,PEREMPUAN,B,KONGHUCU,BELUM KAWIN,MENANTU,SD / SEDERAJAT,Wiraswasta,Ayah Eko,Ibu Eko,HIDUP,
penduduk-181,kk-33,32010174380181,Indra Sari,Bogor,1986-12-21,PEREMPUAN,-,KONGHUCU,CERAI MATI,MERTUA,SD / SEDERAJAT,PNS,Ayah Indra,Ibu Indra,HIDUP,
penduduk-182,kk-33,32010158130182,Lukman Sari,Bogor,2020-12-27,LAKI-LAKI,-,KATOLIK,KAWIN,MENANTU,SD / SEDERAJAT,Perawat,Ayah Lukman,Ibu Lukman,HIDUP,
penduduk-183,kk-34,32010165380183,Fitri Sari,Bogor,1945-11-25,LAKI-LAKI,B,HINDU,KAWIN,KEPALA KELUARGA,BELUM TAMAT SD,Guru,,,HIDUP,
penduduk-184,kk-34,32010147410184,Tono Lestari,Bogor,1969-12-09,LAKI-LAKI,A,ISLAM,CERAI MATI,ANAK,TIDAK / BELUM SEKOLAH,Tidak Bekerja,Ayah Tono,Ibu Tono,PINDAH,
penduduk-185,kk-34,32010162820185,Siti Lestari,Bogor,1956-07-21,PEREMPUAN,A,KONGHUCU,KAWIN,CUCU,SMP / SEDERAJAT,Perawat,Ayah Siti,Ibu Siti,PINDAH,
penduduk-186,kk-34,32010180880186,Kartika Sari,Bogor,2021-11-11,PEREMPUAN,AB,ISLAM,CERAI HIDUP,KEPALA KELUARGA,SMP / SEDERAJAT,Pelajar/Mahasiswa,Ayah Kartika,Ibu Kartika,HIDUP,
penduduk-187,kk-35,32010187570187,Omar Sari,Bogor,1996-05-15,LAKI-LAKI,B,BUDDHA,KAWIN,KEPALA KELUARGA,SMP / SEDERAJAT,Perawat,,,HIDUP,
penduduk-188,kk-35,32010151580188,Indra Prasetyo,Bogor,2007-03-19,PEREMPUAN,-,BUDDHA,KAWIN,CUCU,D4 / S1,Petani,Ayah Indra,Ibu Indra,MATI,
penduduk-189,kk-35,32010149640189,Kartika Indrawati,Bogor,1970-05-21,LAKI-LAKI,-,ISLAM,CERAI HIDUP,KEPALA KELUARGA,SMA / SEDERAJAT,Perawat,Ayah Kartika,Ibu Kartika,MATI,
penduduk-190,kk-35,32010149160190,Umi Setiawan,Bogor,1977-04-21,LAKI-LAKI,A,BUDDHA,CERAI HIDUP,ORANG TUA,TIDAK / BELUM SEKOLAH,Pedagang,Ayah Umi,Ibu Umi,HIDUP,
penduduk-191,kk-35,32010114230191,Nur Rahayu,Bogor,2021-03-10,PEREMPUAN,AB,KATOLIK,CERAI MATI,FAMILI LAIN,SMA / SEDERAJAT,Wiraswasta,Ayah Nur,Ibu Nur,HIDUP,
penduduk-192,kk-35,32010157420192,Maya Saputra,Bogor,1954-03-08,LAKI-LAKI,-,ISLAM,KAWIN,FAMILI LAIN,S3,Buruh,Ayah Maya,Ibu Maya,HIDUP,
penduduk-193,kk-36,32010163550193,Ahmad Sari,Bogor,1966-08-26,LAKI-LAKI,O,BUDDHA,KAWIN,KEPALA KELUARGA,SMA / SEDERAJAT,Pedagang,,,MATI,
penduduk-194,kk-36,32010192340194,Maya Lestari,Bogor,1962-01-16,LAKI-LAKI,A,KONGHUCU,KAWIN,ISTRI,D1 / D2 / D3,Guru,Ayah Maya,Ibu Maya,HIDUP,
penduduk-195,kk-36,32010114490195,Hani Wibowo,Bogor,2014-02-19,LAKI-LAKI,AB,KATOLIK,KAWIN,ORANG TUA,S2,PNS,Ayah Hani,Ibu Hani,HIDUP,
penduduk-196,kk-37,32010157710196,Nur Sari,Bogor,1957-08-23,LAKI-LAKI,AB,KATOLIK,KAWIN,KEPALA KELUARGA,D1 / D2 / D3,PNS,,,HIDUP,
penduduk-197,kk-37,32010199190197,Omar Rahayu,Bogor,1954-06-01,PEREMPUAN,AB,BUDDHA,BELUM KAWIN,CUCU,D4 / S1,PNS,Ayah Omar,Ibu Omar,HIDUP,
penduduk-198,kk-37,32010166300198,Gunawan Sari,Bogor,1970-04-14,PEREMPUAN,O,KATOLIK,BELUM KAWIN,FAMILI LAIN,S2,Pedagang,Ayah Gunawan,Ibu Gunawan,HIDUP,
penduduk-199,kk-37,32010120040199,Omar Saputra,Bogor,2012-03-03,LAKI-LAKI,AB,KRISTEN,CERAI MATI,ORANG TUA,D4 / S1,Guru,Ayah Omar,Ibu Omar,MATI,
penduduk-200,kk-37,32010159980200,Joko Indrawati,Bogor,2008-06-19,LAKI-LAKI,O,HINDU,CERAI MATI,CUCU,SD / SEDERAJAT,PNS,Ayah Joko,Ibu Joko,MATI,
penduduk-201,kk-37,32010134740201,Joko Santoso,Bogor,1962-04-22,LAKI-LAKI,AB,KRISTEN,CERAI HIDUP,KEPALA KELUARGA,S3,Karyawan Swasta,Ayah Joko,Ibu Joko,HIDUP,
penduduk-202,kk-37,32010173450202,Putri Lestari,Bogor,1998-08-26,LAKI-LAKI,A,ISLAM,BELUM KAWIN,ANAK,TIDAK / BELUM SEKOLAH,Dokter,Ayah Putri,Ibu Putri,HIDUP,
penduduk-203,kk-38,32010107920203,Budi Indrawati,Bogor,1990-11-04,LAKI-LAKI,AB,ISLAM,KAWIN,KEPALA KELUARGA,SMP / SEDERAJAT,Tidak Bekerja,,,HIDUP,
penduduk-204,kk-38,32010156400204,Fitri Sari,Bogor,1949-11-03,LAKI-LAKI,-,KONGHUCU,CERAI MATI,SUAMI,TIDAK / BELUM SEKOLAH,PNS,Ayah Fitri,Ibu Fitri,MATI,
penduduk-205,kk-38,32010112420205,Lukman Sari,Bogor,1995-01-14,PEREMPUAN,O,KRISTEN,KAWIN,MERTUA,TIDAK / BELUM SEKOLAH,Buruh,Ayah Lukman,Ibu Lukman,HIDUP,
penduduk-206,kk-38,32010163010206,Kartika Sari,Bogor,2008-01-19,PEREMPUAN,B,KATOLIK,CERAI HIDUP,ANAK,BELUM TAMAT SD,Guru,Ayah Kartika,Ibu Kartika,MATI,
penduduk-207,kk-38,32010102510207,Dewi Wijaya,Bogor,1977-10-23,PEREMPUAN,-,BUDDHA,BELUM KAWIN,KEPALA KELUARGA,SMA / SEDERAJAT,Pedagang,Ayah Dewi,Ibu Dewi,HIDUP,
penduduk-208,kk-39,32010101180208,Putri Sari,Bogor,1992-01-26,LAKI-LAKI,B,KONGHUCU,KAWIN,KEPALA KELUARGA,BELUM TAMAT SD,Pedagang,,,HIDUP,
penduduk-209,kk-39,32010100120209,Maya Wulandari,Bogor,1996-09-05,PEREMPUAN,O,KRISTEN,KAWIN,MENANTU,S3,Buruh,Ayah Maya,Ibu Maya,HIDUP,
penduduk-210,kk-39,32010113670210,Lukman Rahayu,Bogor,1983-07-17,LAKI-LAKI,O,HINDU,KAWIN,MERTUA,SMA / SEDERAJAT,Pedagang,Ayah Lukman,Ibu Lukman,HIDUP,
penduduk-211,kk-39,32010164430211,Kartika Sari,Bogor,1981-08-21,PEREMPUAN,-,KATOLIK,CERAI HIDUP,CUCU,D4 / S1,Buruh,Ayah Kartika,Ibu Kartika,HIDUP,
penduduk-212,kk-39,32010146040212,Dewi Sari,Bogor,2000-04-17,PEREMPUAN,A,KONGHUCU,BELUM KAWIN,ANAK,SD / SEDERAJAT,Tidak Bekerja,Ayah Dewi,Ibu Dewi,HIDUP,
penduduk-213,kk-40,32010108710213,Fitri Saputra,Bogor,1985-06-04,LAKI-LAKI,-,ISLAM,KAWIN,KEPALA KELUARGA,SMA / SEDERAJAT,Wiraswasta,,,HIDUP,
penduduk-214,kk-40,32010138460214,Joko Rahayu,Bogor,1948-03-06,PEREMPUAN,O,BUDDHA,CERAI MATI,MERTUA,D1 / D2 / D3,Tidak Bekerja,Ayah Joko,Ibu Joko,HIDUP,
penduduk-215,kk-40,32010129320215,Putri Saputra,Bogor,2023-06-01,LAKI-LAKI,AB,BUDDHA,CERAI MATI,MENANTU,TIDAK / BELUM SEKOLAH,Buruh,Ayah Putri,Ibu Putri,MATI,
penduduk-216,kk-40,32010112920216,Sari Purnomo,Bogor,2011-11-26,LAKI-LAKI,AB,BUDDHA,BELUM KAWIN,MERTUA,SMA / SEDERAJAT,Buruh,Ayah Sari,Ibu Sari,HIDUP,
penduduk-217,kk-41,32010153900217,Umi Rahayu,Bogor,2013-08-24,LAKI-LAKI,O,KONGHUCU,KAWIN,KEPALA KELUARGA,D4 / S1,Tidak Bekerja,,,HIDUP,
penduduk-218,kk-41,32010131830218,Maya Sari,Bogor,2005-10-16,PEREMPUAN,-,HINDU,CERAI HIDUP,FAMILI LAIN,D1 / D2 / D3,Guru,Ayah Maya,Ibu Maya,HIDUP,
penduduk-219,kk-41,32010136950219,Kartika Sari,Bogor,1995-12-20,LAKI-LAKI,O,KONGHUCU,CERAI MATI,CUCU,SMA / SEDERAJAT,Dokter,Ayah Kartika,Ibu Kartika,HIDUP,
penduduk-220,kk-41,32010148390220,Umi Setiawan,Bogor,1984-03-13,PEREMPUAN,-,ISLAM,CERAI MATI,ISTRI,BELUM TAMAT SD,Tidak Bekerja,Ayah Umi,Ibu Umi,HIDUP,
penduduk-221,kk-41,32010127720221,Hani Sari,Bogor,1955-09-20,PEREMPUAN,B,ISLAM,CERAI HIDUP,ISTRI,BELUM TAMAT SD,Buruh,Ayah Hani,Ibu Hani,HIDUP,
penduduk-222,kk-41,32010152790222,Dewi Sari,Bogor,1995-06-18,PEREMPUAN,B,BUDDHA,CERAI HIDUP,KEPALA KELUARGA,SMP / SEDERAJAT,Pelajar/Mahasiswa,Ayah Dewi,Ibu Dewi,HIDUP,
penduduk-223,kk-42,32010177560223,Joko Wijaya,Bogor,1984-12-24,LAKI-LAKI,B,KATOLIK,KAWIN,KEPALA KELUARGA,D1 / D2 / D3,Karyawan Swasta,,,HIDUP,
penduduk-224,kk-42,32010105590224,Putri Indrawati,Bogor,2009-10-05,LAKI-LAKI,AB,HINDU,BELUM KAWIN,MERTUA,BELUM TAMAT SD,Perawat,Ayah Putri,Ibu Putri,MATI,
penduduk-225,kk-42,32010122850225,Umi Purnomo,Bogor,1982-04-01,PEREMPUAN,O,ISLAM,CERAI HIDUP,MERTUA,D1 / D2 / D3,Dokter,Ayah Umi,Ibu Umi,PINDAH,
penduduk-226,kk-42,32010163710226,Ahmad Indrawati,Bogor,2002-07-03,PEREMPUAN,-,BUDDHA,BELUM KAWIN,ISTRI,SD / SEDERAJAT,Pelajar/Mahasiswa,Ayah Ahmad,Ibu Ahmad,HIDUP,
penduduk-227,kk-43,32010179810227,Budi Kurniawan,Bogor,2004-09-15,LAKI-LAKI,AB,KATOLIK,KAWIN,KEPALA KELUARGA,SMA / SEDERAJAT,Perawat,,,PINDAH,
penduduk-228,kk-43,32010185770228,Lukman Indrawati,Bogor,1975-06-06,LAKI-LAKI,AB,KATOLIK,CERAI HIDUP,ANAK,S2,Pelajar/Mahasiswa,Ayah Lukman,Ibu Lukman,HIDUP,
penduduk-229,kk-43,32010128150229,Eko Sari,Bogor,2001-12-21,LAKI-LAKI,B,KRISTEN,CERAI HIDUP,SUAMI,SD / SEDERAJAT,Dokter,Ayah Eko,Ibu Eko,HIDUP,
penduduk-230,kk-43,32010114710230,Fitri Sari,Bogor,1999-10-24,PEREMPUAN,B,HINDU,CERAI HIDUP,ANAK,BELUM TAMAT SD,PNS,Ayah Fitri,Ibu Fitri,PINDAH,
penduduk-231,kk-43,32010122600231,Dewi Sari,Bogor,1955-08-26,PEREMPUAN,B,ISLAM,CERAI HIDUP,MENANTU,D1 / D2 / D3,PNS,Ayah Dewi,Ibu Dewi,MATI,
penduduk-232,kk-43,32010147620232,Maya Saputra,Bogor,2022-07-07,PEREMPUAN,A,KATOLIK,BELUM KAWIN,MERTUA,SMP / SEDERAJAT,Guru,Ayah Maya,Ibu Maya,HIDUP,
penduduk-233,kk-43,32010159310233,Dewi Sari,Bogor,2006-03-06,PEREMPUAN,AB,BUDDHA,KAWIN,ORANG TUA,D4 / S1,Dokter,Ayah Dewi,Ibu Dewi,HIDUP,
penduduk-234,kk-44,32010114540234,Eko Hidayati,Bogor,2012-01-18,LAKI-LAKI,A,BUDDHA,KAWIN,KEPALA KELUARGA,TIDAK / BELUM SEKOLAH,Guru,,,PINDAH,
penduduk-235,kk-44,32010104540235,Nur Kurniawan,Bogor,2008-01-25,PEREMPUAN,-,HINDU,KAWIN,ORANG TUA,D4 / S1,Petani,Ayah Nur,Ibu Nur,HIDUP,
penduduk-236,kk-44,32010147850236,Putri Hidayat,Bogor,1948-01-27,LAKI-LAKI,B,ISLAM,CERAI HIDUP,FAMILI LAIN,BELUM TAMAT SD,Wiraswasta,Ayah Putri,Ibu Putri,HIDUP,
penduduk-237,kk-44,32010113030237,Fitri Sari,Bogor,2002-05-13,LAKI-LAKI,B,KRISTEN,BELUM KAWIN,CUCU,S3,Pelajar/Mahasiswa,Ayah Fitri,Ibu Fitri,HIDUP,
penduduk-238,kk-44,32010190330238,Maya Sari,Bogor,2015-03-28,LAKI-LAKI,AB,BUDDHA,CERAI MATI,ORANG TUA,D4 / S1,Pelajar/Mahasiswa,Ayah Maya,Ibu Maya,PINDAH,
penduduk-239,kk-45,32010151510239,Ahmad Prasetyo,Bogor,1976-07-28,LAKI-LAKI,A,HINDU,KAWIN,KEPALA KELUARGA,S2,Pelajar/Mahasiswa,,,HIDUP,
penduduk-240,kk-45,32010102740240,Fitri Hidayati,Bogor,1990-02-17,LAKI-LAKI,AB,KATOLIK,CERAI HIDUP,MERTUA,BELUM TAMAT SD,Petani,Ayah Fitri,Ibu Fitri,MATI,
penduduk-241,kk-45,32010190750241,Fitri Hidayati,Bogor,1985-05-01,PEREMPUAN,AB,KRISTEN,BELUM KAWIN,KEPALA KELUARGA,SMP / SEDERAJAT,Petani,Ayah Fitri,Ibu Fitri,HIDUP,
penduduk-242,kk-45,32010192960242,Lukman Wijaya,Bogor,1988-12-26,PEREMPUAN,-,KONGHUCU,BELUM KAWIN,ISTRI,TIDAK / BELUM SEKOLAH,Petani,Ayah Lukman,Ibu Lukman,HIDUP,
penduduk-243,kk-45,32010135200243,Maya Sari,Bogor,1988-08-07,PEREMPUAN,AB,ISLAM,BELUM KAWIN,SUAMI,BELUM TAMAT SD,Guru,Ayah Maya,Ibu Maya,MATI,
penduduk-244,kk-45,32010118010244,Umi Sari,Bogor,2018-01-07,LAKI-LAKI,O,KRISTEN,CERAI MATI,ORANG TUA,D4 / S1,Pelajar/Mahasiswa,Ayah Umi,Ibu Umi,PINDAH,
penduduk-245,kk-46,32010171870245,Putri Sari,Bogor,2021-10-27,LAKI-LAKI,B,KONGHUCU,KAWIN,KEPALA KELUARGA,BELUM TAMAT SD,Pelajar/Mahasiswa,,,MATI,
penduduk-246,kk-46,32010100050246,Dewi Kurniawan,Bogor,1946-10-12,LAKI-LAKI,AB,ISLAM,KAWIN,ORANG TUA,SMP / SEDERAJAT,Pelajar/Mahasiswa,Ayah Dewi,Ibu Dewi,PINDAH,
penduduk-247,kk-46,32010185550247,Sari Setiawan,Bogor,1995-08-13,PEREMPUAN,B,KATOLIK,CERAI MATI,MENANTU,BELUM TAMAT SD,Dokter,Ayah Sari,Ibu Sari,HIDUP,
